h_mm_pattern,三重,心+认,心理,无,认知,身+心,身+认,身体
三重,34.756097560975604,0.6097560975609756,0.6097560975609756,1.2195121951219512,1.8292682926829267,18.902439024390244,18.29268292682927,23.78048780487805
心+认,11.578947368421053,13.94736842105263,11.052631578947368,17.36842105263158,17.63157894736842,9.473684210526317,9.210526315789473,9.736842105263158
心理,9.82905982905983,11.538461538461538,16.23931623931624,22.22222222222222,13.675213675213676,8.333333333333332,7.264957264957266,10.897435897435898
无,2.85,5.1499999999999995,6.45,43.2,17.849999999999998,3.6999999999999997,6.3,14.499999999999998
认知,3.9951573849878934,8.47457627118644,6.053268765133172,29.176755447941886,28.57142857142857,3.14769975786925,10.774818401937045,9.806295399515738
身+心,27.388535031847134,4.45859872611465,2.547770700636943,2.547770700636943,0.6369426751592357,20.382165605095544,15.92356687898089,26.11464968152866
身+认,17.93103448275862,3.4482758620689653,0.0,3.4482758620689653,2.0689655172413794,14.482758620689657,20.689655172413794,37.93103448275862
身体,9.844559585492227,0.5181347150259068,0.7772020725388601,3.8860103626943006,1.8134715025906734,11.917098445595855,22.020725388601036,49.22279792746114
