w_mm_pattern,三重,心+认,心理,无,认知,身+心,身+认,身体
三重,38.28125,1.5625,0.0,0.390625,2.734375,24.609375,14.0625,18.359375
心+认,14.602587800369685,17.375231053604438,13.863216266173753,16.266173752310536,14.417744916820702,11.460258780036968,6.284658040665435,5.730129390018484
心理,12.103746397694524,11.959654178674352,17.146974063400577,20.461095100864554,10.086455331412104,11.815561959654179,5.475504322766571,10.951008645533141
无,4.218040233614536,7.852044127190136,10.64243997404283,38.93575600259572,15.83387410772226,4.542504866969501,4.99675535366645,12.978585334198572
认知,5.079825834542816,11.611030478955007,10.304789550072568,27.576197387518143,24.67343976777939,4.78955007256894,7.6923076923076925,8.272859216255442
身+心,29.39189189189189,2.7027027027027026,0.6756756756756757,1.3513513513513513,1.6891891891891893,29.39189189189189,10.81081081081081,23.986486486486484
身+认,14.64968152866242,1.910828025477707,1.2738853503184715,3.1847133757961785,1.2738853503184715,17.197452229299362,26.11464968152866,34.394904458598724
身体,12.215909090909092,1.7045454545454544,0.8522727272727272,3.6931818181818183,0.8522727272727272,17.045454545454543,20.170454545454543,43.465909090909086
